Player,Salary,Year
Matt Barnes,"$2,133,541 ",2020
Justin James,"$898,310 ",2020
Corey Brewer,"$289,803 ",2020
Eric Mika,"$50,752 ",2020
Tyler Lydon,"$50,000 ",2020
Hollis Thompson,"$50,000 ",2020
Tyler Ulis,"$50,000 ",2020
DaQuan Jeffries,$0 ,2020
Buddy Hield,"$24,701,834 ",2021
Harrison Barnes,"$22,215,909 ",2021
Delon Wright,"$9,000,000 ",2021
Marvin Bagley,"$8,963,640 ",2021
De'Aaron Fox,"$8,099,627 ",2021
Jabari Parker,"$6,500,000 ",2021
Richaun Holmes,"$5,005,350 ",2021
Tyrese Haliburton,"$3,831,840 ",2021
Maurice Harkless,"$3,623,000 ",2021
Mfiondu Kabengele,"$2,075,880 ",2021
Hassan Whiteside,"$1,620,564 ",2021
Terence Davis,"$1,517,981 ",2021
Justin James,"$1,517,981 ",2021
Chris Silva,"$1,517,981 ",2021
Robert Woodard,"$1,500,000 ",2021
Jahmi'us Ramsey,"$1,000,000 ",2021
Glenn Robinson,"$930,930 ",2021
Chimezie Metu,"$750,000 ",2021
Damian Jones,"$459,961 ",2021
Norvel Pelle,"$99,020 ",2021
Louis King,$0 ,2021
Kyle Guy,$0 ,2021
De'Aaron Fox,"$28,103,500 ",2022
Harrison Barnes,"$20,284,091 ",2022
Domantas Sabonis,"$18,500,000 ",2022
Jeremy Lamb,"$10,500,000 ",2022
Richaun Holmes,"$10,384,500 ",2022
Justin Holiday,"$6,006,420 ",2022
Josh Jackson,"$5,005,350 ",2022
Donte DiVincenzo,"$4,675,830 ",2022
Davion Mitchell,"$4,603,200 ",2022
Maurice Harkless,"$4,347,600 ",2022
Terence Davis,"$4,000,000 ",2022
Alex Len,"$3,732,000 ",2022
Trey Lyles,"$2,500,000 ",2022
Damian Jones,"$1,977,011 ",2022
Chimezie Metu,"$1,762,796 ",2022
Jahmi'us Ramsey,"$1,517,981 ",2022
Robert Woodard,"$1,517,981 ",2022
Emmanuel Mudiay,"$111,457 ",2022
Justin Robinson,"$94,304 ",2022
Ade Murkey,"$53,176 ",2022
Louis King,$0 ,2022
Neemias Queta,$0 ,2022
De'Aaron Fox,"$30,351,780 ",2023
Domantas Sabonis,"$18,500,000 ",2023
Harrison Barnes,"$18,352,273 ",2023
Kevin Huerter,"$14,508,929 ",2023
Richaun Holmes,"$11,215,260 ",2023
Malik Monk,"$9,472,219 ",2023
Keegan Murray,"$8,008,440 ",2023
Davion Mitchell,"$4,833,600 ",2023
Terence Davis,"$4,000,000 ",2023
Alex Len,"$3,918,600 ",2023
Trey Lyles,"$2,625,000 ",2023
Chimezie Metu,"$1,910,860 ",2023
KZ Okpala,"$1,902,133 ",2023
Matthew Dellavedova,"$1,836,090 ",2023
Wes Iwundu,"$1,836,090 ",2023
Kent Bazemore,"$1,836,090 ",2023
Quinn Cook,"$1,836,090 ",2023
Kessler Edwards,"$1,637,966 ",2023
DJ Steward,"$1,017,781 ",2023
Jordan Ford,"$1,017,781 ",2023
Alex O'Connell,"$1,017,781 ",2023
Jeriah Horne,"$1,017,781 ",2023
PJ Dozier,"$539,450 ",2023
Chima Moneke,"$500,000 ",2023
Sam Merrill,"$150,000 ",2023
PJ Dozier,"$105,522 ",2023
PJ Dozier,"$105,522 ",2023
Deonte Burton,"$105,522 ",2023
