,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
7,Year/Year,,0.0%,8.6%,3.1%,0.026,17.6%,-22.4%,0.096,8.5%,3.8%,0.022,16.5%,13.1%,0.022,0.2%,-1.3%,-0.8%,9.0%,8.3%,-6.4%,10.1%,1983,12.2%,10.6%
0,Team,82.0,19780,3447,7130,0.483,48,207,0.232,3399,6923,0.491,1624,2119,0.766,1002,2398,3400,2169,1525,2061,8566,1984,834,398
1,Team/G,,241.2,42.0,87.0,0.483,0.6,2.5,0.232,41.5,84.4,0.491,19.8,25.8,0.766,12.2,29.2,41.5,26.5,18.6,25.1,104.5,1984,10.2,4.9
2,Lg Rank,,16,16,16,18.0,12,11,14.0,16,17,18.0,21,23,8.0,23,8,18,11,17,9,19,1984,1,12
3,Year/Year,,-0.3%,-7.0%,-7.7%,0.003,-4.0%,-12.3%,0.02,-7.1%,-7.5%,0.003,12.2%,10.9%,0.009,-22.9%,4.5%,-5.4%,0.9%,-0.7%,-1.2%,-3.9%,1984,10.5%,-3.2%
4,Opponent,82.0,19780,3552,7175,0.495,29,146,0.199,3523,7029,0.501,1828,2415,0.757,1194,2564,3758,2117,1587,1930,8961,1984,761,444
5,Opponent/G,,241.2,43.3,87.5,0.495,0.4,1.8,0.199,43.0,85.7,0.501,22.3,29.5,0.757,14.6,31.3,45.8,25.8,19.4,23.5,109.3,1984,9.3,5.4
6,Lg Rank,,16,11,12,14.0,1,1,1.0,12,12,13.0,11,12,8.0,15,22,21,11,5,21,11,1984,18,13
7,Year/Year,,-0.3%,-5.7%,-1.5%,-0.022,-27.5%,2.8%,-0.083,-5.5%,-1.6%,-0.021,0.7%,0.1%,0.005,-1.0%,0.0%,-0.3%,-5.4%,-3.4%,2.3%,-4.6%,1984,0.0%,1.1%
0,Team,82.0,19780,3489,7324,0.476,30,155,0.194,3459,7169,0.482,1871,2516,0.744,1198,2623,3821,1945,1622,2237,8879,1985,625,366
1,Team/G,,241.2,42.5,89.3,0.476,0.4,1.9,0.194,42.2,87.4,0.482,22.8,30.7,0.744,14.6,32.0,46.6,23.7,19.8,27.3,108.3,1985,7.6,4.5
2,Lg Rank,,14,16,10,19.0,22,23,22.0,12,6,19.0,10,8,19.0,10,2,2,21,23,21,17,1985,19,17
3,Year/Year,,0.0%,1.2%,2.7%,-0.007,-37.5%,-25.1%,-0.038,1.8%,3.6%,-0.008,15.2%,18.7%,-0.023,19.6%,9.4%,12.4%,-10.3%,6.4%,8.5%,3.7%,1985,-25.1%,-8.0%
4,Opponent,82.0,19780,3628,7332,0.495,64,200,0.32,3564,7132,0.5,2068,2707,0.764,1098,2583,3681,2242,1424,2072,9388,1985,777,523
5,Opponent/G,,241.2,44.2,89.4,0.495,0.8,2.4,0.32,43.5,87.0,0.5,25.2,33.0,0.764,13.4,31.5,44.9,27.3,17.4,25.3,114.5,1985,9.5,6.4
6,Lg Rank,,14,14,13,16.0,4,1,22.0,14,15,14.0,22,22,12.0,3,20,19,18,15,10,20,1985,22,22
