,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
3,Year/Year,,-0.5%,-4.0%,2.1%,-0.026,11.5%,22.4%,-0.031,-6.0%,-1.2%,-0.022,4.5%,-1.1%,0.041,5.1%,-3.1%,-1.0%,-9.8%,8.2%,-27.7%,-4.1%,0.5%,-1.9%,2003
4,Opponent,82.0,19830,2713,6208,0.437,406,1149,0.353,2307,5059,0.456,1598,2129,0.751,872,2587,3459,1482,626,436,1173,1671,7430,2003
5,Opponent/G,,241.8,33.1,75.7,0.437,5.0,14.0,0.353,28.1,61.7,0.456,19.5,26.0,0.751,10.6,31.5,42.2,18.1,7.6,5.3,14.3,20.4,90.6,2003
6,Lg Rank,,14,2,2,9.0,9,8,17.0,2,4,9.0,22,22,9.0,3,23,15,1,10,23,20,24,4,2003
7,Year/Year,,-0.5%,1.8%,-1.1%,0.012,7.1%,3.6%,0.012,0.9%,-2.1%,0.014,2.1%,0.1%,0.015,-2.5%,4.1%,2.4%,1.4%,1.0%,23.5%,3.4%,-2.2%,2.1%,2003
0,Team,82.0,19755,2729,6417,0.425,485,1357,0.357,2244,5060,0.443,1459,1915,0.762,940,2459,3399,1565,590,313,1137,1812,7402,2004
1,Team/G,,240.9,33.3,78.3,0.425,5.9,16.5,0.357,27.4,61.7,0.443,17.8,23.4,0.762,11.5,30.0,41.5,19.1,7.2,3.8,13.9,22.1,90.3,2004
2,Lg Rank,,23,26,21,25.0,7,7,7.0,25,23,26.0,18,19,12.0,21,15,20,28,22,28,6,21,22,2004
3,Year/Year,,-0.4%,1.5%,-1.5%,0.013,39.4%,23.4%,0.041,-4.1%,-6.6%,0.012,12.9%,13.4%,-0.003,-0.8%,-0.2%,-0.4%,4.3%,-0.3%,-3.4%,-2.6%,-2.4%,5.5%,2004
4,Opponent,82.0,19755,2658,6205,0.428,431,1256,0.343,2227,4949,0.45,1612,2100,0.768,892,2486,3378,1526,578,439,1207,1729,7359,2004
5,Opponent/G,,240.9,32.4,75.7,0.428,5.3,15.3,0.343,27.2,60.4,0.45,19.7,25.6,0.768,10.9,30.3,41.2,18.6,7.0,5.4,14.7,21.1,89.7,2004
6,Lg Rank,,23,5,3,7.0,16,19,14.0,3,2,7.0,25,24,26.0,4,17,8,3,2,21,18,17,8,2004
7,Year/Year,,-0.4%,-2.0%,-0.0%,-0.009,6.2%,9.3%,-0.01,-3.5%,-2.2%,-0.006,0.9%,-1.4%,0.017,2.3%,-3.9%,-2.3%,3.0%,-7.7%,0.7%,2.9%,3.5%,-1.0%,2004
0,Team,82.0,19980,3097,6368,0.486,475,1260,0.377,2622,5108,0.513,1658,2466,0.672,887,2639,3526,1790,528,474,1127,1814,8327,2005
1,Team/G,,243.7,37.8,77.7,0.486,5.8,15.4,0.377,32.0,62.3,0.513,20.2,30.1,0.672,10.8,32.2,43.0,21.8,6.4,5.8,13.7,22.1,101.5,2005
2,Lg Rank,,2,3,26,1.0,14,16,3.0,10,22,1.0,13,2,30.0,25,2,7,11,28,6,9,11,4,2005
3,Year/Year,,1.1%,13.5%,-0.8%,0.061,-2.1%,-7.1%,0.02,16.8%,0.9%,0.07,13.6%,28.8%,-0.09,-5.6%,7.3%,3.7%,14.4%,-10.5%,51.4%,-0.9%,0.1%,12.5%,2005
4,Opponent,82.0,19980,2865,6705,0.427,441,1269,0.348,2424,5436,0.446,1621,2134,0.76,922,2397,3319,1620,611,264,1085,2020,7792,2005
5,Opponent/G,,243.7,34.9,81.8,0.427,5.4,15.5,0.348,29.6,66.3,0.446,19.8,26.0,0.76,11.2,29.2,40.5,19.8,7.5,3.2,13.2,24.6,95.0,2005
6,Lg Rank,,2,10,20,4.0,9,11,10.0,11,22,3.0,17,16,19.0,6,9,7,5,14,1,26,2,8,2005
7,Year/Year,,1.1%,7.8%,8.1%,-0.001,2.3%,1.0%,0.004,8.8%,9.8%,-0.004,0.6%,1.6%,-0.008,3.4%,-3.6%,-1.7%,6.2%,5.7%,-39.9%,-10.1%,16.8%,5.9%,2005
0,Team,82.0,19755,3039,6355,0.478,497,1441,0.345,2542,4914,0.517,1616,2310,0.7,858,2675,3533,1692,522,442,1186,1871,8191,2006
1,Team/G,,240.9,37.1,77.5,0.478,6.1,17.6,0.345,31.0,59.9,0.517,19.7,28.2,0.7,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,99.9,2006
2,Lg Rank,,28,4,19,2.0,12,12,20.0,7,26,1.0,18,8,29.0,21,2,1,17,29,8,16,15,6,2006
