,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
5,Opponent/G,,242.7,35.7,80.2,0.445,4.6,13.0,0.356,31.0,67.2,0.462,20.0,26.6,0.752,11.2,29.8,40.9,21.2,7.2,4.2,15.0,20.5,96.0,2000
6,Lg Rank,,1,10,7,10.0,11,10,19.0,10,12,9.0,23,22,20.0,3,9,5,9,5,3,18,29,11,2000
7,Year/Year,,0.9%,6.1%,4.9%,0.005,8.8%,-0.6%,0.031,5.7%,6.0%,-0.001,-5.0%,-9.4%,0.035,-5.5%,-4.8%,-5.0%,-4.9%,-0.7%,-19.9%,-10.1%,1.0%,3.7%,2000
0,Team,82.0,19830,3148,6871,0.458,322,901,0.357,2826,5970,0.473,1364,1737,0.785,1002,2470,3472,2083,682,456,1136,1900,7982,2001
1,Team/G,,241.8,38.4,83.8,0.458,3.9,11.0,0.357,34.5,72.8,0.473,16.6,21.2,0.785,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3,2001
2,Lg Rank,,13,1,7,6.0,25,25,9.0,1,2,7.0,29,28,4.0,12,18,16,2,6,10,4,18,7,2001
3,Year/Year,,-0.4%,-2.4%,-0.6%,-0.009,29.8%,25.8%,0.011,-5.1%,-3.6%,-0.007,-1.1%,-1.8%,0.006,-1.4%,-0.0%,-0.4%,-5.5%,9.6%,2.7%,-0.3%,-0.7%,-1.2%,2001
4,Opponent,82.0,19830,2977,6588,0.452,350,996,0.351,2627,5592,0.47,1567,2164,0.724,967,2505,3472,1834,583,357,1246,1655,7871,2001
5,Opponent/G,,241.8,36.3,80.3,0.452,4.3,12.1,0.351,32.0,68.2,0.47,19.1,26.4,0.724,11.8,30.5,42.3,22.4,7.1,4.4,15.2,20.2,96.0,2001
6,Lg Rank,,13,18,12,22.0,4,3,12.0,20,20,22.0,16,21,1.0,11,15,13,18,2,5,13,29,14,2001
7,Year/Year,,-0.4%,1.8%,0.2%,0.007,-7.9%,-6.6%,-0.005,3.3%,1.5%,0.008,-4.7%,-1.0%,-0.028,5.6%,2.7%,3.5%,5.6%,-1.4%,3.8%,1.1%,-1.8%,-0.0%,2001
0,Team,82.0,19805,3175,6887,0.461,396,1047,0.378,2779,5840,0.476,1399,1754,0.798,1059,2562,3621,1993,524,427,1097,1739,8145,2002
1,Team/G,,241.5,38.7,84.0,0.461,4.8,12.8,0.378,33.9,71.2,0.476,17.1,21.4,0.798,12.9,31.2,44.2,24.3,6.4,5.2,13.4,21.2,99.3,2002
2,Lg Rank,,15,3,6,5.0,18,21,3.0,2,4,7.0,22,25,2.0,9,7,5,2,28,16,4,13,5,2002
3,Year/Year,,-0.1%,0.9%,0.2%,0.003,23.0%,16.2%,0.021,-1.7%,-2.2%,0.002,2.6%,1.0%,0.012,5.7%,3.7%,4.3%,-4.3%,-23.2%,-6.4%,-3.4%,-8.5%,2.0%,2002
4,Opponent,82.0,19805,2962,6654,0.445,492,1321,0.372,2470,5333,0.463,1452,1958,0.742,912,2326,3238,1855,542,407,1097,1676,7868,2002
5,Opponent/G,,241.5,36.1,81.1,0.445,6.0,16.1,0.372,30.1,65.0,0.463,17.7,23.9,0.742,11.1,28.4,39.5,22.6,6.6,5.0,13.4,20.4,96.0,2002
6,Lg Rank,,15,15,14,14.0,27,24,26.0,8,9,15.0,12,14,5.0,3,2,3,18,1,12,24,18,16,2002
