,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
1,Team/G,,241.2,44.2,91.6,0.483,19.8,26.8,0.737,15.6,27.9,43.5,24.0,26.1,108.6,1983,10.4,5.2,19.6,0.4,1.8,0.227,43.8,89.7,0.488
2,Lg Rank,,11,8,8,13.0,16,15,14.0,6,20,18,20,17,13,1983,2,12,18,16,15,15.0,8,7,14.0
3,Year/Year,,0.0%,-0.5%,2.2%,-0.013,-5.2%,-7.7%,0.019,-0.1%,-6.9%,-4.5%,7.9%,-3.9%,-2.0%,1983,25.0%,10.0%,12.8%,-62.6%,-53.8%,-0.053,1.1%,4.8%,-0.018
4,Opponent,82.0,19780,3706,7260,0.51,1751,2391,0.732,1249,2495,3744,2170,2026,9205,1983,758,489,1690,42,167,0.251,3664,7093,0.517
5,Opponent/G,,241.2,45.2,88.5,0.51,21.4,29.2,0.732,15.2,30.4,45.7,26.5,24.7,112.3,1983,9.2,6.0,20.6,0.5,2.0,0.251,44.7,86.5,0.517
6,Lg Rank,,11,16,10,21.0,16,17,9.0,14,16,17,14,16,15,1983,14,14,4,11,8,14.0,16,10,21.0
7,Year/Year,,0.0%,4.2%,0.1%,0.02,-5.7%,-3.0%,-0.021,12.3%,3.7%,6.4%,4.4%,-6.0%,2.2%,1983,14.7%,24.4%,23.5%,5.0%,-2.9%,0.019,4.2%,0.2%,0.02
0,Team,82.0,19830,3519,7534,0.467,1915,2577,0.743,1390,2171,3561,1837,2108,9008,1984,830,348,1518,55,226,0.243,3464,7308,0.474
1,Team/G,,241.8,42.9,91.9,0.467,23.4,31.4,0.743,17.0,26.5,43.4,22.4,25.7,109.9,1984,10.1,4.2,18.5,0.7,2.8,0.243,42.2,89.1,0.474
2,Lg Rank,,12,13,4,22.0,10,6,19.0,2,23,11,22,11,14,1984,2,22,16,8,9,12.0,13,5,22.0
3,Year/Year,,0.3%,-3.0%,0.3%,-0.016,18.2%,17.2%,0.006,8.5%,-4.9%,-0.1%,-6.5%,-1.4%,1.1%,1984,-3.0%,-19.1%,-5.5%,61.8%,50.7%,0.017,-3.6%,-0.7%,-0.014
4,Opponent,82.0,19830,3725,7210,0.517,1801,2377,0.758,1211,2513,3724,2150,2246,9287,1984,691,494,1694,36,171,0.211,3689,7039,0.524
5,Opponent/G,,241.8,45.4,87.9,0.517,22.0,29.0,0.758,14.8,30.6,45.4,26.2,27.4,113.3,1984,8.4,6.0,20.7,0.4,2.1,0.211,45.0,85.8,0.524
6,Lg Rank,,12,19,13,22.0,10,9,9.0,17,21,19,15,2,17,1984,12,20,1,3,4,5.0,19,13,22.0
7,Year/Year,,0.3%,0.5%,-0.7%,0.006,2.9%,-0.6%,0.025,-3.0%,0.7%,-0.5%,-0.9%,10.9%,0.9%,1984,-8.8%,1.0%,0.2%,-14.3%,2.4%,-0.041,0.7%,-0.8%,0.008
0,Team,82.0,19855,3498,7555,0.463,1944,2531,0.768,1327,2139,3466,1759,2136,9052,1985,803,284,1460,112,397,0.282,3386,7158,0.473
