,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
7,Year/Year,,0.5%,2.9%,0.2%,0.013,6.7%,-13.0%,0.049,2.8%,0.6%,0.011,16.7%,12.9%,0.025,-0.5%,6.0%,3.8%,-3.3%,-10.5%,1.5%,5.7%,1984,-9.2%,-16.0%
0,Team,82.0,19755,3646,7445,0.49,52,224,0.232,3594,7221,0.498,1631,2237,0.729,1233,2325,3558,2163,1355,2011,8975,1985,772,415
1,Team/G,,240.9,44.5,90.8,0.49,0.6,2.7,0.232,43.8,88.1,0.498,19.9,27.3,0.729,15.0,28.4,43.4,26.4,16.5,24.5,109.5,1985,9.4,5.1
2,Lg Rank,,17,9,4,12.0,16,13,19.0,9,4,13.0,21,20,21.0,7,18,13,12,5,10,13,1985,5,13
3,Year/Year,,-0.3%,0.9%,2.6%,-0.008,6.1%,-3.4%,0.021,0.8%,2.8%,-0.01,-6.4%,-10.1%,0.029,1.0%,0.5%,0.7%,0.7%,-15.7%,-10.3%,-0.5%,1985,-5.2%,-16.8%
4,Opponent,82.0,19755,3514,7040,0.499,79,262,0.302,3435,6778,0.507,1849,2454,0.753,1084,2405,3489,1975,1496,1933,8956,1985,680,352
5,Opponent/G,,240.9,42.9,85.9,0.499,1.0,3.2,0.302,41.9,82.7,0.507,22.5,29.9,0.753,13.2,29.3,42.5,24.1,18.2,23.6,109.2,1985,8.3,4.3
6,Lg Rank,,17,7,3,19.0,16,15,17.0,7,3,19.0,12,15,4.0,2,13,8,2,8,19,9,1985,12,2
7,Year/Year,,-0.3%,2.7%,0.9%,0.008,64.6%,44.8%,0.036,1.8%,-0.2%,0.01,-9.2%,-8.3%,-0.008,-1.2%,4.2%,2.5%,3.2%,-10.6%,-10.6%,0.3%,1985,-12.9%,-15.4%
0,Team,82.0,19805,3548,7301,0.486,43,214,0.201,3505,7087,0.495,1810,2396,0.755,1183,2483,3666,2128,1575,2129,8949,1986,749,345
1,Team/G,,241.5,43.3,89.0,0.486,0.5,2.6,0.201,42.7,86.4,0.495,22.1,29.2,0.755,14.4,30.3,44.7,26.0,19.2,26.0,109.1,1986,9.1,4.2
2,Lg Rank,,8,11,8,13.0,18,16,21.0,10,5,12.0,16,14,14.0,9,4,6,13,20,12,14,1986,8,20
3,Year/Year,,0.3%,-2.7%,-1.9%,-0.004,-17.3%,-4.5%,-0.031,-2.5%,-1.9%,-0.003,11.0%,7.1%,0.026,-4.1%,6.8%,3.0%,-1.6%,16.2%,5.9%,-0.3%,1986,-3.0%,-16.9%
4,Opponent,82.0,19805,3504,7124,0.492,96,316,0.304,3408,6808,0.501,2008,2622,0.766,1036,2369,3405,2019,1523,2002,9112,1986,783,390
5,Opponent/G,,241.5,42.7,86.9,0.492,1.2,3.9,0.304,41.6,83.0,0.501,24.5,32.0,0.766,12.6,28.9,41.5,24.6,18.6,24.4,111.1,1986,9.5,4.8
6,Lg Rank,,8,10,6,15.0,21,21,18.0,10,5,14.0,20,16,18.0,2,12,4,7,6,15,12,1986,19,6
7,Year/Year,,0.3%,-0.3%,1.2%,-0.007,21.5%,20.6%,0.002,-0.8%,0.4%,-0.006,8.6%,6.8%,0.012,-4.4%,-1.5%,-2.4%,2.2%,1.8%,3.6%,1.7%,1986,15.1%,10.8%
