,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
5,Opponent/G,,241.2,41.1,89.0,0.462,21.4,27.8,0.769,14.5,26.5,41.0,23.0,25.1,104.0,1981,9.0,4.3,18.0,0.4,1.7,0.216,40.8,87.3,0.467
6,Lg Rank,,11,4,15,3.0,9,7,23.0,13,2,3,2,11,2,1981,13,1,15,2,4,7.0,4,16,3.0
7,Year/Year,,-0.5%,-1.9%,-0.2%,-0.008,2.3%,2.5%,-0.001,2.1%,-5.2%,-2.8%,1.2%,0.0%,-1.6%,1981,7.3%,-16.2%,-9.9%,-59.5%,-46.3%,-0.07,-0.7%,1.5%,-0.01
0,Team,82.0,19780,3657,7334,0.499,1817,2457,0.74,1253,2489,3742,2126,2014,9180,1982,652,568,1452,49,184,0.266,3608,7150,0.505
1,Team/G,,241.2,44.6,89.4,0.499,22.2,30.0,0.74,15.3,30.4,45.6,25.9,24.6,112.0,1982,8.0,6.9,17.7,0.6,2.2,0.266,44.0,87.2,0.505
2,Lg Rank,,15,5,8,8.0,6,5,14.0,5,7,3,7,5,4,1982,15,2,12,12,10,11.0,5,9,9.0
3,Year/Year,,0.0%,2.1%,3.3%,-0.006,2.0%,3.7%,-0.012,8.5%,2.7%,4.6%,-3.5%,1.2%,1.9%,1982,-4.5%,-4.4%,-7.9%,-24.6%,-23.7%,-0.003,2.6%,4.3%,-0.008
4,Opponent,82.0,19780,3490,7429,0.47,1638,2172,0.754,1193,2247,3440,1972,2240,8657,1982,681,367,1432,39,203,0.192,3451,7226,0.478
5,Opponent/G,,241.2,42.6,90.6,0.47,20.0,26.5,0.754,14.5,27.4,42.0,24.0,27.3,105.6,1982,8.3,4.5,17.5,0.5,2.5,0.192,42.1,88.1,0.478
6,Lg Rank,,15,9,20,6.0,7,6,17.0,16,3,4,7,4,8,1982,11,6,12,4,18,2.0,10,20,6.0
7,Year/Year,,0.0%,3.5%,1.8%,0.008,-6.5%,-4.6%,-0.015,0.1%,3.4%,2.2%,4.3%,8.8%,1.5%,1982,-7.5%,4.6%,-2.8%,30.0%,46.0%,-0.024,3.3%,1.0%,0.011
0,Team,82.0,19830,3711,7547,0.492,1730,2348,0.737,1273,2532,3805,2216,2062,9191,1983,789,521,1541,39,186,0.21,3672,7361,0.499
1,Team/G,,241.8,45.3,92.0,0.492,21.1,28.6,0.737,15.5,30.9,46.4,27.0,25.1,112.1,1983,9.6,6.4,18.8,0.5,2.3,0.21,44.8,89.8,0.499
2,Lg Rank,,3,4,6,8.0,12,11,13.0,7,5,3,7,8,7,1983,6,7,11,13,10,20.0,3,6,7.0
3,Year/Year,,0.3%,1.5%,2.9%,-0.007,-4.8%,-4.4%,-0.003,1.6%,1.7%,1.7%,4.2%,2.4%,0.1%,1983,21.0%,-8.3%,6.1%,-20.4%,1.1%,-0.057,1.8%,3.0%,-0.006
4,Opponent,82.0,19830,3477,7401,0.47,1750,2307,0.759,1186,2393,3579,2027,2137,8752,1983,699,340,1607,48,180,0.267,3429,7221,0.475
5,Opponent/G,,241.8,42.4,90.3,0.47,21.3,28.1,0.759,14.5,29.2,43.6,24.7,26.1,106.7,1983,8.5,4.1,19.6,0.6,2.2,0.267,41.8,88.1,0.475
6,Lg Rank,,3,9,14,7.0,15,13,21.0,8,11,9,8,11,10,1983,9,2,8,15,10,20.0,9,14,6.0
7,Year/Year,,0.3%,-0.4%,-0.4%,0.0,6.8%,6.2%,0.004,-0.6%,6.5%,4.0%,2.8%,-4.6%,1.1%,1983,2.6%,-7.4%,12.2%,23.1%,-11.3%,0.075,-0.6%,-0.1%,-0.003
0,Team,82.0,19955,3616,7235,0.5,1907,2407,0.792,1159,2538,3697,2122,1949,9194,1984,673,430,1420,55,229,0.24,3561,7006,0.508
1,Team/G,,243.4,44.1,88.2,0.5,23.3,29.4,0.792,14.1,31.0,45.1,25.9,23.8,112.1,1984,8.2,5.2,17.3,0.7,2.8,0.24,43.4,85.4,0.508
2,Lg Rank,,3,10,10,6.0,11,15,2.0,10,1,3,14,3,7,1984,15,10,8,8,8,13.0,11,13,5.0
3,Year/Year,,0.6%,-2.6%,-4.1%,0.008,10.2%,2.5%,0.055,-9.0%,0.2%,-2.8%,-4.2%,-5.5%,0.0%,1984,-14.7%,-17.5%,-7.9%,41.0%,23.1%,0.03,-3.0%,-4.8%,0.009
4,Opponent,82.0,19955,3463,7372,0.47,1659,2143,0.774,1101,2227,3328,1957,2090,8656,1984,703,328,1329,71,219,0.324,3392,7153,0.474
5,Opponent/G,,243.4,42.2,89.9,0.47,20.2,26.1,0.774,13.4,27.2,40.6,23.9,25.5,105.6,1984,8.6,4.0,16.2,0.9,2.7,0.324,41.4,87.2,0.474
6,Lg Rank,,3,7,17,2.0,2,1,22.0,7,5,4,2,15,4,1984,13,3,20,23,19,23.0,7,16,2.0
7,Year/Year,,0.6%,-0.4%,-0.4%,-0.0,-5.2%,-7.1%,0.016,-7.2%,-6.9%,-7.0%,-3.5%,-2.2%,-1.1%,1984,0.6%,-3.5%,-17.3%,47.9%,21.7%,0.058,-1.1%,-0.9%,-0.001
0,Team,82.0,19705,3721,7325,0.508,1860,2307,0.806,1116,2630,3746,2287,1781,9412,1985,645,414,1332,110,309,0.356,3611,7016,0.515
