,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,241.5,36.7,82.2,0.447,4.2,12.9,0.326,32.5,69.3,0.47,17.3,22.8,0.759,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9,95.0,2012
2,Lg Rank,,16,16,12,16.0,27,28,25.0,2,2,22.0,10,13,13.0,5,26,16,24,1,12,14,19,20,2012
3,Year/Year,,-0.4%,-5.8%,-0.9%,-0.023,11.4%,13.9%,-0.007,-7.7%,-3.3%,-0.022,-4.5%,-5.7%,0.009,6.4%,1.0%,2.6%,-5.2%,1.7%,-2.8%,3.6%,-4.1%,-5.0%,2012
4,Opponent,66.0,15940,2278,5132,0.444,417,1209,0.345,1861,3923,0.474,1163,1522,0.764,729,1954,2683,1274,518,363,1130,1275,6136,2012
5,Opponent/G,,241.5,34.5,77.8,0.444,6.3,18.3,0.345,28.2,59.4,0.474,17.6,23.1,0.764,11.0,29.6,40.7,19.3,7.8,5.5,17.1,19.3,93.0,2012
6,Lg Rank,,16,4,3,12.0,13,13,11.0,4,4,13.0,21,22,25.0,12,8,7,4,16,22,1,18,5,2012
7,Year/Year,,-0.4%,-4.6%,-1.7%,-0.013,-11.7%,-5.6%,-0.024,-2.9%,-0.5%,-0.012,-2.5%,-2.9%,0.003,0.1%,1.7%,1.3%,-8.2%,5.0%,-10.7%,2.7%,-9.7%,-4.7%,2012
0,Team,82.0,19805,2964,6679,0.444,382,1107,0.345,2582,5572,0.463,1349,1746,0.773,1059,2445,3504,1715,703,436,1144,1660,7659,2013
1,Team/G,,241.5,36.1,81.5,0.444,4.7,13.5,0.345,31.5,68.0,0.463,16.5,21.3,0.773,12.9,29.8,42.7,20.9,8.6,5.3,14.0,20.2,93.4,2013
2,Lg Rank,,16,23,18,21.0,30,30,24.0,3,1,25.0,16,16,10.0,3,24,11,24,4,12,5,17,27,2013
3,Year/Year,,0.0%,-1.6%,-0.9%,-0.003,11.0%,4.9%,0.019,-3.2%,-1.9%,-0.006,-4.9%,-6.6%,0.013,2.6%,1.2%,1.6%,7.0%,-10.3%,1.7%,-3.6%,1.5%,-1.7%,2013
4,Opponent,82.0,19805,2748,6312,0.435,504,1489,0.338,2244,4823,0.465,1319,1763,0.748,845,2359,3204,1599,600,450,1268,1643,7319,2013
5,Opponent/G,,241.5,33.5,77.0,0.435,6.1,18.2,0.338,27.4,58.8,0.465,16.1,21.5,0.748,10.3,28.8,39.1,19.5,7.3,5.5,15.5,20.0,89.3,2013
6,Lg Rank,,16,1,1,3.0,3,6,2.0,2,4,3.0,7,10,12.0,3,4,1,4,6,19,6,13,1,2013
7,Year/Year,,0.0%,-2.9%,-1.0%,-0.009,-2.7%,-0.9%,-0.006,-2.9%,-1.0%,-0.009,-8.7%,-6.8%,-0.016,-6.7%,-2.8%,-3.9%,1.0%,-6.8%,-0.2%,-9.7%,3.7%,-4.0%,2013
0,Team,82.0,19805,3122,6723,0.464,405,1147,0.353,2717,5576,0.487,1235,1666,0.741,950,2526,3476,1792,631,375,1124,1568,7884,2014
