,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19680,3465,7354,0.471,1936,2483,0.78,1239,2530,3769,1936,1865,8935,1988,712,502,1367,69,291,0.237,3396,7063,0.481
1,Team/G,,240.0,42.3,89.7,0.471,23.6,30.3,0.78,15.1,30.9,46.0,23.6,22.7,109.0,1988,8.7,6.1,16.7,0.8,3.5,0.237,41.4,86.1,0.481
2,Lg Rank,,23,9,6,18.0,6,5,7.0,5,2,2,19,6,9,1988,11,5,11,20,19,21.0,7,5,18.0
3,Year/Year,,-0.5%,0.0%,1.3%,-0.006,10.9%,5.4%,0.038,4.1%,2.0%,2.7%,-13.1%,-5.5%,1.9%,1988,8.9%,-9.5%,-1.2%,-22.5%,-10.2%,-0.038,0.6%,1.8%,-0.006
4,Opponent,82.0,19680,3454,7420,0.465,1805,2352,0.767,1261,2506,3767,1951,2012,8821,1988,737,365,1405,108,393,0.275,3346,7027,0.476
5,Opponent/G,,240.0,42.1,90.5,0.465,22.0,28.7,0.767,15.4,30.6,45.9,23.8,24.5,107.6,1988,9.0,4.5,17.1,1.3,4.8,0.275,40.8,85.7,0.476
6,Lg Rank,,23,11,20,2.0,11,11,15.0,21,19,20,2,6,13,1988,18,3,11,1,10,1.0,13,20,2.0
7,Year/Year,,-0.5%,3.2%,2.7%,0.002,-4.3%,-2.9%,-0.012,8.1%,6.0%,6.7%,-8.2%,4.7%,1.6%,1988,2.2%,-0.8%,2.9%,8.0%,10.7%,-0.007,3.0%,2.3%,0.003
0,Team,82.0,19855,3412,7196,0.474,1909,2527,0.755,1211,2554,3765,2016,2026,8897,1989,789,501,1569,164,523,0.314,3248,6673,0.487
1,Team/G,,242.1,41.6,87.8,0.474,23.3,30.8,0.755,14.8,31.1,45.9,24.6,24.7,108.5,1989,9.6,6.1,19.1,2.0,6.4,0.314,39.6,81.4,0.487
2,Lg Rank,,3,16,15,14.0,7,4,17.0,9,5,2,18,16,13,1989,11,5,21,16,14,15.0,18,13,13.0
