,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
7,Year/Year,,-0.6%,5.1%,1.6%,0.018,45.5%,40.1%,0.01,4.6%,0.8%,0.02,-6.9%,-6.1%,-0.007,2.9%,-8.2%,-4.6%,-0.5%,-5.1%,2.8%,3.0%,1982,6.4%,4.0%
0,Team,82.0,19730,3951,7999,0.494,24,126,0.19,3927,7873,0.499,2179,2696,0.808,1214,2524,3738,2336,1496,2091,10105,1983,789,352
1,Team/G,,240.6,48.2,97.5,0.494,0.3,1.5,0.19,47.9,96.0,0.499,26.6,32.9,0.808,14.8,30.8,45.6,28.5,18.2,25.5,123.2,1983,9.6,4.3
2,Lg Rank,,18,2,1,7.0,22,20,22.0,2,1,8.0,1,1,1.0,13,7,6,2,5,12,1,1983,6,21
3,Year/Year,,-0.5%,-0.7%,4.5%,-0.026,-40.0%,-15.4%,-0.078,-0.3%,4.9%,-0.026,-8.1%,-9.5%,0.012,5.7%,3.3%,4.1%,2.8%,1.8%,-1.9%,-2.6%,1983,18.8%,-4.3%
4,Opponent,82.0,19730,4098,8120,0.505,71,253,0.281,4027,7867,0.512,1787,2393,0.747,1369,2697,4066,2389,1636,2356,10054,1983,728,611
5,Opponent/G,,240.6,50.0,99.0,0.505,0.9,3.1,0.281,49.1,95.9,0.512,21.8,29.2,0.747,16.7,32.9,49.6,29.1,20.0,28.7,122.6,1983,8.9,7.5
6,Lg Rank,,18,23,23,20.0,23,23,21.0,23,23,20.0,19,18,14.0,22,22,22,22,7,1,23,1983,12,22
7,Year/Year,,-0.5%,-3.9%,-0.3%,-0.019,10.9%,11.5%,-0.001,-4.1%,-0.6%,-0.019,3.1%,1.7%,0.01,0.8%,9.7%,6.5%,-5.0%,10.8%,-4.0%,-2.7%,1983,-2.8%,7.4%
0,Team,82.0,19805,3935,7983,0.493,77,255,0.302,3858,7728,0.499,2200,2690,0.818,1133,2444,3577,2482,1344,2279,10147,1984,711,352
1,Team/G,,241.5,48.0,97.4,0.493,0.9,3.1,0.302,47.0,94.2,0.499,26.8,32.8,0.818,13.8,29.8,43.6,30.3,16.4,27.8,123.7,1984,8.7,4.3
2,Lg Rank,,13,1,1,13.0,3,5,2.0,1,2,13.0,1,3,1.0,14,6,9,1,5,21,1,1984,9,20
3,Year/Year,,0.4%,-0.4%,-0.2%,-0.001,220.8%,102.4%,0.111,-1.8%,-1.8%,0.0,1.0%,-0.2%,0.01,-6.7%,-3.2%,-4.3%,6.3%,-10.2%,9.0%,0.4%,1984,-9.9%,0.0%
4,Opponent,82.0,19805,4016,7747,0.518,62,205,0.302,3954,7542,0.524,2143,2860,0.749,1228,2737,3965,2453,1538,2272,10237,1984,671,545
5,Opponent/G,,241.5,49.0,94.5,0.518,0.8,2.5,0.302,48.2,92.0,0.524,26.1,34.9,0.749,15.0,33.4,48.4,29.9,18.8,27.7,124.8,1984,8.2,6.6
