,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,82.0,19780,3217,7011,0.459,1615,2090,0.773,1101,2278,3379,1858,686,409,1254,1995,8254,1991,205,667,0.307,3012,6344,0.475
5,Opponent/G,,241.2,39.2,85.5,0.459,19.7,25.5,0.773,13.4,27.8,41.2,22.7,8.4,5.0,15.3,24.3,100.7,1991,2.5,8.1,0.307,36.7,77.4,0.475
6,Lg Rank,,20,3,10,6.0,8,9,21.0,8,7,5,4,9,13,17,7,3,1991,21,23,7.0,3,7,7.0
7,Year/Year,,-0.3%,1.7%,0.9%,0.004,-13.4%,-14.8%,0.012,0.1%,3.1%,2.1%,-1.4%,-6.8%,-9.5%,1.0%,4.5%,-1.4%,1991,17.8%,18.5%,-0.002,0.7%,-0.7%,0.007
0,Team,82.0,19880,3379,6866,0.492,1961,2490,0.788,1097,2543,3640,2188,715,448,1264,1746,8877,1992,158,458,0.345,3221,6408,0.503
1,Team/G,,242.4,41.2,83.7,0.492,23.9,30.4,0.788,13.4,31.0,44.4,26.7,8.7,5.5,15.4,21.3,108.3,1992,1.9,5.6,0.345,39.3,78.1,0.503
2,Lg Rank,,3,12,26,6.0,1,2,5.0,19,6,10,6,13,13,13,7,8,1992,18,20,6.0,10,17,4.0
3,Year/Year,,0.5%,5.1%,5.0%,0.0,0.5%,0.7%,-0.002,26.5%,2.8%,8.9%,-1.3%,9.7%,-0.7%,-3.1%,-2.8%,4.1%,1992,6.8%,0.0%,0.022,5.1%,5.4%,-0.002
4,Opponent,82.0,19880,3292,7178,0.459,1535,2056,0.747,1146,2255,3401,1925,646,458,1205,1958,8353,1992,234,695,0.337,3058,6483,0.472
5,Opponent/G,,242.4,40.1,87.5,0.459,18.7,25.1,0.747,14.0,27.5,41.5,23.5,7.9,5.6,14.7,23.9,101.9,1992,2.9,8.5,0.337,37.3,79.1,0.472
6,Lg Rank,,3,8,18,7.0,7,8,4.0,10,4,5,12,5,17,21,4,7,1992,23,23,15.0,8,12,6.0
7,Year/Year,,0.5%,2.3%,2.4%,-0.0,-5.0%,-1.6%,-0.026,4.1%,-1.0%,0.7%,3.6%,-5.8%,12.0%,-3.9%,-1.9%,1.2%,1992,14.1%,4.2%,0.029,1.5%,2.2%,-0.003
0,Team,82.0,19755,3336,6828,0.489,1907,2491,0.766,1041,2463,3504,2177,746,344,1270,1965,8709,1993,130,414,0.314,3206,6414,0.5
1,Team/G,,240.9,40.7,83.3,0.489,23.3,30.4,0.766,12.7,30.0,42.7,26.5,9.1,4.2,15.5,24.0,106.2,1993,1.6,5.0,0.314,39.1,78.2,0.5
2,Lg Rank,,22,14,23,4.0,3,4,9.0,20,11,17,3,10,25,10,17,11,1993,26,26,21.0,7,12,7.0
3,Year/Year,,-0.6%,-1.3%,-0.6%,-0.004,-2.8%,0.0%,-0.022,-5.1%,-3.1%,-3.7%,-0.5%,4.3%,-23.2%,0.5%,12.5%,-1.9%,1993,-17.7%,-9.6%,-0.031,-0.5%,0.1%,-0.003
4,Opponent,82.0,19755,3258,6970,0.467,1743,2343,0.744,1120,2314,3434,1928,648,468,1291,1970,8531,1993,272,836,0.325,2986,6134,0.487
5,Opponent/G,,240.9,39.7,85.0,0.467,21.3,28.6,0.744,13.7,28.2,41.9,23.5,7.9,5.7,15.7,24.0,104.0,1993,3.3,10.2,0.325,36.4,74.8,0.487
6,Lg Rank,,22,8,11,9.0,15,17,6.0,14,5,4,7,6,21,15,11,10,1993,21,27,6.0,5,7,12.0
7,Year/Year,,-0.6%,-1.0%,-2.9%,0.009,13.6%,14.0%,-0.003,-2.3%,2.6%,1.0%,0.2%,0.3%,2.2%,7.1%,0.6%,2.1%,1993,16.2%,20.3%,-0.011,-2.4%,-5.4%,0.015
