,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,241.2,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,22.7,30.0,0.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4,2000
2,Lg Rank,,19,25,22,17.0,21,19,19.0,18,15,14.0,2,2,13.0,27,3,16,4,6,7,9,2,14,2000
3,Year/Year,,-0.7%,7.1%,7.1%,-0.0,-22.9%,-17.0%,-0.026,12.8%,13.1%,-0.001,9.9%,8.3%,0.011,12.3%,7.6%,8.8%,11.1%,0.8%,18.5%,-7.6%,-7.5%,6.0%,2000
4,Opponent,82.0,19780,3048,6811,0.448,410,1086,0.378,2638,5725,0.461,1347,1807,0.745,966,2550,3516,1903,604,421,1297,2076,7853,2000
5,Opponent/G,,241.2,37.2,83.1,0.448,5.0,13.2,0.378,32.2,69.8,0.461,16.4,22.0,0.745,11.8,31.1,42.9,23.2,7.4,5.1,15.8,25.3,95.8,2000
6,Lg Rank,,19,16,19,13.0,20,13,27.0,15,20,8.0,3,4,10.0,7,20,15,20,7,14,12,3,10,2000
7,Year/Year,,-0.7%,6.9%,3.7%,0.013,17.9%,4.0%,0.045,5.3%,3.7%,0.007,-14.4%,-15.6%,0.011,-10.1%,4.3%,-0.1%,6.3%,-16.9%,10.6%,3.8%,10.0%,3.0%,2000
0,Team,82.0,19880,2800,6501,0.431,340,984,0.346,2460,5517,0.446,1599,2146,0.745,1033,2608,3641,1900,665,455,1183,1753,7539,2001
1,Team/G,,242.4,34.1,79.3,0.431,4.1,12.0,0.346,30.0,67.3,0.446,19.5,26.2,0.745,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4,91.9,2001
2,Lg Rank,,8,24,17,23.0,19,20,18.0,21,13,24.0,9,8,19.0,8,4,7,7,11,11,8,11,24,2001
3,Year/Year,,0.5%,-4.6%,-0.5%,-0.019,0.3%,-1.7%,0.007,-5.2%,-0.3%,-0.023,-14.2%,-12.7%,-0.013,16.9%,-1.0%,3.5%,-6.1%,-9.2%,-5.2%,-1.9%,5.0%,-6.6%,2001
4,Opponent,82.0,19880,2767,6501,0.426,389,1081,0.36,2378,5420,0.439,1444,1910,0.756,892,2436,3328,1748,616,375,1204,1768,7367,2001
5,Opponent/G,,242.4,33.7,79.3,0.426,4.7,13.2,0.36,29.0,66.1,0.439,17.6,23.3,0.756,10.9,29.7,40.6,21.3,7.5,4.6,14.7,21.6,89.8,2001
6,Lg Rank,,8,4,10,4.0,12,11,20.0,4,9,3.0,10,9,22.0,4,11,4,12,10,6,22,20,4,2001
7,Year/Year,,0.5%,-9.2%,-4.6%,-0.022,-5.1%,-0.5%,-0.018,-9.9%,-5.3%,-0.022,7.2%,5.7%,0.011,-7.7%,-4.5%,-5.3%,-8.1%,2.0%,-10.9%,-7.2%,-14.8%,-6.2%,2001
0,Team,82.0,19755,2893,6580,0.44,346,994,0.348,2547,5586,0.456,1568,2105,0.745,1059,2505,3564,1759,653,456,1150,1747,7700,2002
1,Team/G,,240.9,35.3,80.2,0.44,4.2,12.1,0.348,31.1,68.1,0.456,19.1,25.7,0.745,12.9,30.5,43.5,21.5,8.0,5.6,14.0,21.3,93.9,2002
2,Lg Rank,,24,20,19,18.0,22,23,18.0,14,10,19.0,8,7,18.0,9,12,6,19,13,11,9,14,20,2002
3,Year/Year,,-0.6%,3.3%,1.2%,0.009,1.8%,1.0%,0.003,3.5%,1.3%,0.01,-1.9%,-1.9%,-0.0,2.5%,-3.9%,-2.1%,-7.4%,-1.8%,0.2%,-2.8%,-0.3%,2.1%,2002
4,Opponent,82.0,19755,2850,6594,0.432,433,1156,0.375,2417,5438,0.444,1488,1938,0.768,963,2399,3362,1639,625,422,1140,1703,7621,2002
5,Opponent/G,,240.9,34.8,80.4,0.432,5.3,14.1,0.375,29.5,66.3,0.444,18.1,23.6,0.768,11.7,29.3,41.0,20.0,7.6,5.1,13.9,20.8,92.9,2002
6,Lg Rank,,24,6,12,7.0,17,9,27.0,5,14,3.0,15,12,26.0,10,9,7,7,14,16,21,17,7,2002
7,Year/Year,,-0.6%,3.0%,1.4%,0.007,11.3%,6.9%,0.015,1.6%,0.3%,0.006,3.0%,1.5%,0.012,8.0%,-1.5%,1.0%,-6.2%,1.5%,12.5%,-5.3%,-3.7%,3.4%,2002
0,Team,82.0,19880.0,2961.0,6859.0,0.432,320.0,881.0,0.363,2641.0,5978.0,0.442,1487.0,2096.0,0.709,1083.0,2335.0,3418.0,1794.0,695.0,440.0,1192.0,1894.0,7729.0,2005
1,Team/G,,242.4,36.1,83.6,0.432,3.9,10.7,0.363,32.2,72.9,0.442,18.1,25.6,0.709,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,94.3,2005
