,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
7,Year/Year,,-0.4%,-3.8%,-2.8%,-0.005,11.7%,14.5%,-0.019,5.0%,1.4%,2.8%,-1.9%,0.5%,-1.7%,1981,-5.4%,-6.5%,3.7%,-46.2%,-32.8%,-0.056,-2.9%,-1.7%,-0.006
0,Team,82.0,19855,3919,7585,0.517,1549,2161,0.717,1258,2505,3763,2356,1999,9400,1982,848,517,1468,13,94,0.138,3906,7491,0.521
1,Team/G,,242.1,47.8,92.5,0.517,18.9,26.4,0.717,15.3,30.5,45.9,28.7,24.4,114.6,1982,10.3,6.3,17.9,0.2,1.1,0.138,47.6,91.4,0.521
2,Lg Rank,,4,2,3,3.0,23,20,23.0,4,6,2,1,2,2,1982,3,5,13,23,23,23.0,2,2,3.0
3,Year/Year,,0.3%,3.7%,2.7%,0.005,0.6%,2.3%,-0.012,8.0%,0.6%,2.9%,-0.3%,2.3%,3.1%,1982,5.0%,-6.2%,-5.7%,-23.5%,0.0%,-0.043,3.8%,2.8%,0.005
4,Opponent,82.0,19855,3745,7679,0.488,1433,2008,0.714,1275,2255,3530,2319,2004,9001,1982,718,435,1483,78,213,0.366,3667,7466,0.491
5,Opponent/G,,242.1,45.7,93.6,0.488,17.5,24.5,0.714,15.5,27.5,43.0,28.3,24.4,109.8,1982,8.8,5.3,18.1,1.0,2.6,0.366,44.7,91.0,0.491
6,Lg Rank,,4,20,22,10.0,1,1,1.0,21,4,12,22,22,15,1982,16,13,7,23,21,23.0,19,22,10.0
7,Year/Year,,0.3%,4.6%,-0.3%,0.023,-10.3%,-7.0%,-0.027,-7.5%,-0.8%,-3.3%,1.7%,7.2%,2.3%,1982,-4.8%,21.8%,0.7%,85.7%,15.8%,0.138,3.6%,-0.7%,0.02
0,Team,82.0,19730,3964,7512,0.528,1495,2031,0.736,1235,2433,3668,2519,1931,9433,1983,844,479,1584,10,96,0.104,3954,7416,0.533
