,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,82.0,20005,3658,7742,0.472,2029,2785,0.729,1254,2623,3877,2113,1989,9345,1978,879,357,1677,,,,,,
5,Opponent/G,,244.0,44.6,94.4,0.472,24.7,34.0,0.729,15.3,32.0,47.3,25.8,24.3,114.0,1978,10.7,4.4,20.5,,,,,,
6,Lg Rank,,1,16,15,14.0,20,20,1.0,15,14,13,16,17,22,1978,20,2,10,,,,,,
7,Year/Year,,1.3%,2.3%,1.7%,0.002,15.8%,19.7%,-0.024,7.8%,-3.4%,-0.1%,14.4%,-0.9%,4.9%,1978,10.8%,-13.3%,4.0%,,,,,,
0,Team,82.0,19780,3676,7554,0.487,1478,2111,0.7,1200,2430,3630,2121,2154,8830,1979,699,397,1605,,,,,,
1,Team/G,,241.2,44.8,92.1,0.487,18.0,25.7,0.7,14.6,29.6,44.3,25.9,26.3,107.7,1979,8.5,4.8,19.6,,,,,,
2,Lg Rank,,6,10,8,10.0,21,18,22.0,14,13,15,11,18,18,1979,15,15,11,,,,,,
3,Year/Year,,-1.1%,-3.6%,-3.4%,-0.001,-11.5%,-5.1%,-0.05,1.7%,-9.6%,-6.2%,-9.3%,-1.8%,-5.1%,1979,-14.5%,-10.2%,-9.0%,,,,,,
4,Opponent,82.0,19780,3600,7457,0.483,1907,2506,0.761,1225,2489,3714,2114,1961,9107,1979,751,378,1558,,,,,,
5,Opponent/G,,241.2,43.9,90.9,0.483,23.3,30.6,0.761,14.9,30.4,45.3,25.8,23.9,111.1,1979,9.2,4.6,19.0,,,,,,
6,Lg Rank,,6,9,8,10.0,19,19,19.0,12,12,14,10,18,13,1979,13,5,14,,,,,,
7,Year/Year,,-1.1%,-1.6%,-3.7%,0.01,-6.0%,-10.0%,0.032,-2.3%,-5.1%,-4.2%,0.0%,-1.4%,-2.5%,1979,-14.6%,5.9%,-7.1%,,,,,,
0,Team,82.0,19780,3802,7672,0.496,1698,2274,0.747,1236,2303,3539,2265,2168,9344,1980,881,457,1613,42.0,191.0,0.22,3760,7481,0.503
1,Team/G,,241.2,46.4,93.6,0.496,20.7,27.7,0.747,15.1,28.1,43.2,27.6,26.4,114.0,1980,10.7,5.6,19.7,0.5,2.3,0.22,45.9,91.2,0.503
2,Lg Rank,,16,4,5,4.0,13,11,16.0,11,21,20,5,20,4,1980,3,9,16,15.0,12.0,16.0,4,4,4.0
