,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
1,Team/G,,242.7,41.9,85.0,0.492,21.3,28.7,0.74,13.8,29.1,42.9,25.8,26.4,105.7,1984,7.8,6.0,17.3,0.7,2.8,0.254,41.1,82.2,0.501
2,Lg Rank,,6,17,19,14.0,16,16,20.0,13,11,13,15,15,18,1984,16,7,7,6,6,9.0,17,19,11.0
3,Year/Year,,0.4%,-1.5%,-2.3%,0.004,0.7%,2.4%,-0.012,3.7%,-3.7%,-1.5%,-0.1%,1.7%,-0.8%,1984,-3.0%,-8.1%,-2.2%,59.5%,37.3%,0.035,-2.2%,-3.2%,0.005
4,Opponent,82.0,19905,3207,7033,0.456,1869,2489,0.751,1252,2235,3487,1959,2093,8325,1984,653,319,1404,42,203,0.207,3165,6830,0.463
5,Opponent/G,,242.7,39.1,85.8,0.456,22.8,30.4,0.751,15.3,27.3,42.5,23.9,25.5,101.5,1984,8.0,3.9,17.1,0.5,2.5,0.207,38.6,83.3,0.463
6,Lg Rank,,6,1,6,1.0,14,16,4.0,20,6,11,3,14,1,1984,7,2,17,7,13,4.0,1,6,1.0
7,Year/Year,,0.4%,-3.9%,-3.9%,-0.0,12.3%,11.0%,0.009,-3.9%,-4.6%,-4.4%,-4.1%,-2.4%,-0.6%,1984,4.8%,6.3%,-7.8%,10.5%,-2.9%,0.025,-4.1%,-3.9%,-0.001
0,Team,82.0,19805,3564,7256,0.491,1873,2473,0.757,1256,2353,3609,2164,2239,9090,1985,689,486,1382,89,294,0.303,3475,6962,0.499
1,Team/G,,241.5,43.5,88.5,0.491,22.8,30.2,0.757,15.3,28.7,44.0,26.4,27.3,110.9,1985,8.4,5.9,16.9,1.1,3.6,0.303,42.4,84.9,0.499
2,Lg Rank,,10,10,14,10.0,9,10,15.0,6,14,10,11,22,11,1985,13,7,6,8,9,7.0,10,14,11.0
3,Year/Year,,-0.5%,3.8%,4.1%,-0.001,7.5%,5.1%,0.017,10.7%,-1.3%,2.5%,2.4%,3.3%,4.9%,1985,7.3%,-0.6%,-2.3%,50.8%,26.7%,0.048,3.0%,3.3%,-0.001
4,Opponent,82.0,19805,3214,6972,0.461,2020,2700,0.748,1236,2293,3529,1904,2104,8528,1985,642,389,1562,80,308,0.26,3134,6664,0.47
5,Opponent/G,,241.5,39.2,85.0,0.461,24.6,32.9,0.748,15.1,28.0,43.0,23.2,25.7,104.0,1985,7.8,4.7,19.0,1.0,3.8,0.26,38.2,81.3,0.47
6,Lg Rank,,10,1,2,1.0,20,21,2.0,18,9,10,1,7,1,1985,5,5,6,18,21,8.0,1,2,1.0
7,Year/Year,,-0.5%,0.2%,-0.9%,0.005,8.1%,8.5%,-0.003,-1.3%,2.6%,1.2%,-2.8%,0.5%,2.4%,1985,-1.7%,21.9%,11.3%,90.5%,51.7%,0.053,-1.0%,-2.4%,0.007
0,Team,82.0,19805,3601,7310,0.493,2063,2701,0.764,1189,2420,3609,2158,2210,9390,1986,805,460,1369,125,382,0.327,3476,6928,0.502
1,Team/G,,241.5,43.9,89.1,0.493,25.2,32.9,0.764,14.5,29.5,44.0,26.3,27.0,114.5,1986,9.8,5.6,16.7,1.5,4.7,0.327,42.4,84.5,0.502
2,Lg Rank,,8,9,7,7.0,4,4,11.0,8,12,10,11,20,5,1986,4,7,6,5,6,5.0,13,11,7.0
3,Year/Year,,0.0%,1.0%,0.7%,0.001,10.1%,9.2%,0.006,-5.3%,2.8%,0.0%,-0.3%,-1.3%,3.3%,1986,16.8%,-5.3%,-0.9%,40.4%,29.9%,0.025,0.0%,-0.5%,0.003
4,Opponent,82.0,19805,3286,7043,0.467,1980,2674,0.74,1169,2325,3494,1952,2139,8649,1986,633,397,1631,97,329,0.295,3189,6714,0.475
5,Opponent/G,,241.5,40.1,85.9,0.467,24.1,32.6,0.74,14.3,28.4,42.6,23.8,26.1,105.5,1986,7.7,4.8,19.9,1.2,4.0,0.295,38.9,81.9,0.475
6,Lg Rank,,8,2,3,2.0,17,19,2.0,12,7,10,3,6,5,1986,2,7,3,22,23,16.0,2,3,3.0
7,Year/Year,,0.0%,2.2%,1.0%,0.006,-2.0%,-1.0%,-0.008,-5.4%,1.4%,-1.0%,2.5%,1.7%,1.4%,1986,-1.4%,2.1%,4.4%,21.3%,6.8%,0.035,1.8%,0.8%,0.005
0,Team,82.0,19780,3457,7282,0.475,1953,2549,0.766,1119,2322,3441,2044,2180,9052,1987,845,393,1260,185,572,0.323,3272,6710,0.488
1,Team/G,,241.2,42.2,88.8,0.475,23.8,31.1,0.766,13.6,28.3,42.0,24.9,26.6,110.4,1987,10.3,4.8,15.4,2.3,7.0,0.323,39.9,81.8,0.488
2,Lg Rank,,13,14,11,14.0,11,11,11.0,20,20,21,15,20,11,1987,1,19,4,4,2,6.0,18,19,10.0
3,Year/Year,,-0.1%,-4.0%,-0.4%,-0.018,-5.3%,-5.6%,0.002,-5.9%,-4.0%,-4.7%,-5.3%,-1.4%,-3.6%,1987,5.0%,-14.6%,-8.0%,48.0%,49.7%,-0.004,-5.9%,-3.1%,-0.014
4,Opponent,82.0,19780,3247,6906,0.47,2117,2796,0.757,1191,2477,3668,2014,2024,8731,1987,659,460,1551,120,415,0.289,3127,6491,0.482
5,Opponent/G,,241.2,39.6,84.2,0.47,25.8,34.1,0.757,14.5,30.2,44.7,24.6,24.7,106.5,1987,8.0,5.6,18.9,1.5,5.1,0.289,38.1,79.2,0.482
6,Lg Rank,,13,2,1,7.0,20,20,7.0,10,17,16,4,12,5,1987,5,13,3,14,15,9.0,2,1,7.0
7,Year/Year,,-0.1%,-1.2%,-1.9%,0.004,6.9%,4.6%,0.017,1.9%,6.5%,5.0%,3.2%,-5.4%,0.9%,1987,4.1%,15.9%,-4.9%,23.7%,26.1%,-0.006,-1.9%,-3.3%,0.007
