,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
2,Lg Rank,,2,7,1,26.0,20,15,24.0,3,1,25.0,13,15,18.0,1,7,1,11,26,25,21,7,9,1995
3,Year/Year,,1.0%,5.6%,3.8%,0.007,60.2%,55.2%,0.01,1.0%,-2.5%,0.016,11.9%,13.8%,-0.013,19.1%,13.2%,15.4%,19.2%,-24.5%,16.4%,-3.4%,-9.8%,8.5%,1995
4,Opponent,82.0,19930,3407,6982,0.488,432,1181,0.366,2975,5801,0.513,1454,1981,0.734,1053,2379,3432,1991,722,502,1250,1925,8700,1995
5,Opponent/G,,243.0,41.5,85.1,0.488,5.3,14.4,0.366,36.3,70.7,0.513,17.7,24.2,0.734,12.8,29.0,41.9,24.3,8.8,6.1,15.2,23.5,106.1,1995
6,Lg Rank,,2,26,23,25.0,11,8,18.0,26,25,23.0,5,5,11.0,12,18,15,19,22,25,20,13,24,1995
7,Year/Year,,1.0%,6.1%,7.3%,-0.006,73.5%,71.7%,0.004,0.4%,-0.3%,0.004,-21.0%,-20.7%,-0.003,-4.4%,-5.0%,-4.8%,1.1%,-7.7%,-1.0%,-12.5%,16.7%,2.2%,1995
0,Team,82.0,19930,3124,7431,0.42,735,2039,0.36,2389,5392,0.443,1426,1975,0.722,1408,2379,3787,1913,642,342,1270,1836,8409,1996
1,Team/G,,243.0,38.1,90.6,0.42,9.0,24.9,0.36,29.1,65.8,0.443,17.4,24.1,0.722,17.2,29.0,46.2,23.3,7.8,4.2,15.5,22.4,102.5,1996
2,Lg Rank,,2,10,1,29.0,1,1,18.0,25,12,28.0,25,25,24.0,1,14,2,11,19,22,13,12,9,1996
3,Year/Year,,0.0%,-3.2%,1.2%,-0.019,90.4%,69.9%,0.039,-15.9%,-12.2%,-0.019,-12.1%,-10.6%,-0.012,-7.0%,-2.2%,-4.1%,-1.4%,10.9%,-1.7%,-5.6%,1.4%,-0.6%,1996
4,Opponent,82.0,19930,3403,6921,0.492,470,1193,0.394,2933,5728,0.512,1535,2097,0.732,1087,2726,3813,1978,702,531,1348,1841,8811,1996
5,Opponent/G,,243.0,41.5,84.4,0.492,5.7,14.5,0.394,35.8,69.9,0.512,18.7,25.6,0.732,13.3,33.2,46.5,24.1,8.6,6.5,16.4,22.5,107.5,1996
6,Lg Rank,,2,29,29,29.0,12,3,27.0,29,29,27.0,12,13,7.0,20,29,29,22,23,29,9,20,29,1996
7,Year/Year,,0.0%,-0.1%,-0.9%,0.004,8.8%,1.0%,0.028,-1.4%,-1.3%,-0.001,5.6%,5.9%,-0.002,3.2%,14.6%,11.1%,-0.7%,-2.8%,5.8%,7.8%,-4.4%,1.3%,1996
0,Team,82.0,19805,2813,6452,0.436,430,1316,0.327,2383,5136,0.464,1375,1918,0.717,1040,2262,3302,1663,654,351,1324,1798,7431,1997
1,Team/G,,241.5,34.3,78.7,0.436,5.2,16.0,0.327,29.1,62.6,0.464,16.8,23.4,0.717,12.7,27.6,40.3,20.3,8.0,4.3,16.1,21.9,90.6,1997
2,Lg Rank,,18,27,17,28.0,22,19,27.0,20,16,24.0,27,26,25.0,13,21,17,24,17,21,19,13,26,1997
3,Year/Year,,-0.6%,-10.0%,-13.2%,0.016,-41.5%,-35.5%,-0.034,-0.3%,-4.7%,0.021,-3.6%,-2.9%,-0.005,-26.1%,-4.9%,-12.8%,-13.1%,1.9%,2.6%,4.3%,-2.1%,-11.6%,1997
4,Opponent,82.0,19805,2966,6469,0.458,538,1444,0.373,2428,5025,0.483,1482,1974,0.751,1098,2428,3526,1794,687,433,1284,1720,7952,1997
5,Opponent/G,,241.5,36.2,78.9,0.458,6.6,17.6,0.373,29.6,61.3,0.483,18.1,24.1,0.751,13.4,29.6,43.0,21.9,8.4,5.3,15.7,21.0,97.0,1997
6,Lg Rank,,18,13,15,15.0,24,23,24.0,11,9,16.0,10,8,27.0,26,23,24,15,17,21,16,27,14,1997
