Unnamed: 1,Salary,Year
Otto Porter,"$27,250,576 ",2020
Zach LaVine,"$19,500,000 ",2020
Thaddeus Young,"$12,900,000 ",2020
Tomas Satoransky,"$9,375,000 ",2020
Cristiano Felicio,"$8,156,500 ",2020
Kris Dunn,"$5,348,007 ",2020
Coby White,"$5,307,120 ",2020
Lauri Markkanen,"$5,300,400 ",2020
Wendell Carter,"$5,201,400 ",2020
Denzel Valentine,"$3,377,569 ",2020
Omer Asik,"$3,000,000 ",2020
Ryan Arcidiacono,"$3,000,000 ",2020
Chandler Hutchison,"$2,332,320 ",2020
Luke Kornet,"$2,250,000 ",2020
Antonio Blakeney,"$1,488,231 ",2020
Shaquille Harrison,"$898,310 ",2020
Daniel Gafford,"$898,310 ",2020
Adam Mokoka,$0 ,2020
Max Strus,$0 ,2020
Nikola Vucevic,"$26,000,000 ",2021
Zach LaVine,"$19,500,000 ",2021
Thaddeus Young,"$13,545,000 ",2021
Tomas Satoransky,"$10,000,000 ",2021
Al-Farouq Aminu,"$9,720,900 ",2021
Cristiano Felicio,"$7,529,020 ",2021
Patrick Williams,"$7,068,360 ",2021
Lauri Markkanen,"$6,731,508 ",2021
Coby White,"$5,572,680 ",2021
Daniel Theis,"$5,000,000 ",2021
Garrett Temple,"$4,767,000 ",2021
Denzel Valentine,"$4,642,800 ",2021
Troy Brown,"$3,372,840 ",2021
Ryan Arcidiacono,"$3,000,000 ",2021
Javonte Green,"$1,517,981 ",2021
Adam Mokoka,$0 ,2021
Devon Dotson,$0 ,2021
DeMar DeRozan,"$26,000,000 ",2022
Nikola Vucevic,"$24,000,000 ",2022
Zach LaVine,"$19,500,000 ",2022
Lonzo Ball,"$18,604,651 ",2022
Derrick Jones,"$9,720,900 ",2022
Alex Caruso,"$8,604,651 ",2022
Patrick Williams,"$7,422,000 ",2022
Coby White,"$5,837,760 ",2022
Troy Brown,"$5,170,564 ",2022
Tony Bradley,"$1,789,256 ",2022
Javonte Green,"$1,669,178 ",2022
Matt Thomas,"$1,669,178 ",2022
Alfonzo McKinnie,"$1,293,926 ",2022
Tristan Thompson,"$1,000,000 ",2022
Ayo Dosunmu,"$925,258 ",2022
Marko Simonovic,"$925,258 ",2022
Alize Johnson,"$705,598 ",2022
Ersan Ilyasova,"$151,821 ",2022
Stanley Johnson,"$120,083 ",2022
Mac McClung,"$106,352 ",2022
Jordan Bell,"$102,831 ",2022
Malcolm Hill,"$53,176 ",2022
Devon Dotson,$0 ,2022
Tyler Cook,$0 ,2022
Zach LaVine,"$37,096,500 ",2023
DeMar DeRozan,"$27,300,000 ",2023
Nikola Vucevic,"$22,000,000 ",2023
Lonzo Ball,"$19,534,884 ",2023
Alex Caruso,"$9,030,000 ",2023
Patrick Williams,"$7,775,400 ",2023
Coby White,"$7,413,955 ",2023
Derrick Jones Jr.,"$3,200,000 ",2023
Andre Drummond,"$3,200,000 ",2023
Dalen Terry,"$3,191,400 ",2023
Tony Bradley,"$2,036,318 ",2023
Goran Dragic,"$1,836,090 ",2023
Okaro White,"$1,836,090 ",2023
Javonte Green,"$1,815,677 ",2023
Marko Simonovic,"$1,563,518 ",2023
Ayo Dosunmu,"$1,563,518 ",2023
Javon Freeman-Liberty,"$1,017,781 ",2023
Ethan Thompson,"$1,017,781 ",2023
Patrick Beverley,"$506,508 ",2023
Carlik Jones,"$357,717 ",2023
